sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ATP6V1A","Approved symbol","ATP6V1A","ATPase H+ transporting V1 subunit A","HGNC:851","3q13.31"
"ATP6V1B1","Approved symbol","ATP6V1B1","ATPase H+ transporting V1 subunit B1","HGNC:853","2p13.3"
"ATP6V1B2","Approved symbol","ATP6V1B2","ATPase H+ transporting V1 subunit B2","HGNC:854","8p21.3"
"ATP6V1C1","Approved symbol","ATP6V1C1","ATPase H+ transporting V1 subunit C1","HGNC:856","8q22.3"
"ATP6V1D","Approved symbol","ATP6V1D","ATPase H+ transporting V1 subunit D","HGNC:13527","14q23.3"
"ATP6V1E1","Approved symbol","ATP6V1E1","ATPase H+ transporting V1 subunit E1","HGNC:857","22q11.21"
"ATP6V1E2","Approved symbol","ATP6V1E2","ATPase H+ transporting V1 subunit E2","HGNC:18125","2p21"
"ATP6V1F","Approved symbol","ATP6V1F","ATPase H+ transporting V1 subunit F","HGNC:16832","7q32.1"
"ATP6V1G1","Approved symbol","ATP6V1G1","ATPase H+ transporting V1 subunit G1","HGNC:864","9q32"
"ATP6V1H","Approved symbol","ATP6V1H","ATPase H+ transporting V1 subunit H","HGNC:18303","8q11.23"
"ATP7A","Approved symbol","ATP7A","ATPase copper transporting alpha","HGNC:869","Xq21.1"
"ATP7B","Approved symbol","ATP7B","ATPase copper transporting beta","HGNC:870","13q14.3"
"ATP8A1","Approved symbol","ATP8A1","ATPase phospholipid transporting 8A1","HGNC:13531","4p13"
"ATP8B1","Approved symbol","ATP8B1","ATPase phospholipid transporting 8B1","HGNC:3706","18q21.31"
"ATP8B2","Approved symbol","ATP8B2","ATPase phospholipid transporting 8B2","HGNC:13534","1q21.3"
"ATP8B3","Approved symbol","ATP8B3","ATPase phospholipid transporting 8B3","HGNC:13535","19p13.3"
"ATP8B4","Approved symbol","ATP8B4","ATPase phospholipid transporting 8B4 (putative)","HGNC:13536","15q21.2"
"ATP9A","Approved symbol","ATP9A","ATPase phospholipid transporting 9A (putative)","HGNC:13540","20q13.2"
"ATP9B","Approved symbol","ATP9B","ATPase phospholipid transporting 9B (putative)","HGNC:13541","18q23"
"ATPAF1","Approved symbol","ATPAF1","ATP synthase mitochondrial F1 complex assembly factor 1","HGNC:18803","1p33"
"ATPAF2","Approved symbol","ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2","HGNC:18802","17p11.2"
"ATPIF1","Previous symbol","ATP5IF1","ATP synthase inhibitory factor subunit 1","HGNC:871","1p35.3"
"ATR","Approved symbol","ATR","ATR serine/threonine kinase","HGNC:882","3q23"
"ATR","Alias symbol","SERPINA2","serpin family A member 2 (gene/pseudogene)","HGNC:8985","14q32.13"
"ATR","Alias symbol","ANTXR1","ANTXR cell adhesion molecule 1","HGNC:21014","2p13.3"
"ATRAID","Approved symbol","ATRAID","all-trans retinoic acid induced differentiation factor","HGNC:24090","2p23.3"
"ATRIP","Approved symbol","ATRIP","ATR interacting protein","HGNC:33499","3p21.31"
"ATRN","Approved symbol","ATRN","attractin","HGNC:885","20p13"
"ATRNL1","Approved symbol","ATRNL1","attractin like 1","HGNC:29063","10q25.3"
"ATRX","Approved symbol","ATRX","ATRX chromatin remodeler","HGNC:886","Xq21.1"
"ATXN1","Approved symbol","ATXN1","ataxin 1","HGNC:10548","6p22.3"
"ATXN10","Approved symbol","ATXN10","ataxin 10","HGNC:10549","22q13.31"
"ATXN1L","Approved symbol","ATXN1L","ataxin 1 like","HGNC:33279","16q22.2"
"ATXN2","Approved symbol","ATXN2","ataxin 2","HGNC:10555","12q24.12"
"ATXN2L","Approved symbol","ATXN2L","ataxin 2 like","HGNC:31326","16p11.2"
"ATXN3","Approved symbol","ATXN3","ataxin 3","HGNC:7106","14q32.12"
"ATXN7","Approved symbol","ATXN7","ataxin 7","HGNC:10560","3p14.1"
"ATXN7L1","Approved symbol","ATXN7L1","ataxin 7 like 1","HGNC:22210","7q22.3"
"ATXN7L2","Approved symbol","ATXN7L2","ataxin 7 like 2","HGNC:28713","1p13.3"
"ATXN7L3","Approved symbol","ATXN7L3","ataxin 7 like 3","HGNC:25416","17q21.31"
"ATXN7L3B","Approved symbol","ATXN7L3B","ataxin 7 like 3B","HGNC:37931","12q21.1"
"AUH","Approved symbol","AUH","AU RNA binding methylglutaconyl-CoA hydratase","HGNC:890","9q22.31"
"AUNIP","Approved symbol","AUNIP","aurora kinase A and ninein interacting protein","HGNC:28363","1p36.11"
"AUP1","Approved symbol","AUP1","AUP1 lipid droplet regulating VLDL assembly factor","HGNC:891","2p13.1"
"AURKA","Approved symbol","AURKA","aurora kinase A","HGNC:11393","20q13.2"
"AURKAIP1","Approved symbol","AURKAIP1","aurora kinase A interacting protein 1","HGNC:24114","1p36.33"
"AURKB","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1"
"AUTS2","Approved symbol","AUTS2","activator of transcription and developmental regulator AUTS2","HGNC:14262","7q11.22"
"AVEN","Approved symbol","AVEN","apoptosis and caspase activation inhibitor","HGNC:13509","15q14"
"AVIL","Approved symbol","AVIL","advillin","HGNC:14188","12q14.1"
"AVL9","Approved symbol","AVL9","AVL9 cell migration associated","HGNC:28994","7p14.3"
"AVPI1","Approved symbol","AVPI1","arginine vasopressin induced 1","HGNC:30898","10q24.2"
"AXIN1","Approved symbol","AXIN1","axin 1","HGNC:903","16p13.3"
"AXIN2","Approved symbol","AXIN2","axin 2","HGNC:904","17q24.1"
"AXL","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2"
"AZI1","Previous symbol","CEP131","centrosomal protein 131","HGNC:29511","17q25.3"
"AZI2","Approved symbol","AZI2","5-azacytidine induced 2","HGNC:24002","3p24.1"
"AZIN1","Approved symbol","AZIN1","antizyme inhibitor 1","HGNC:16432","8q22.3"
"B2M","Approved symbol","B2M","beta-2-microglobulin","HGNC:914","15q21.1"
"B3GALNT2","Approved symbol","B3GALNT2","beta-1,3-N-acetylgalactosaminyltransferase 2","HGNC:28596","1q42.3"
"B3GALT1","Approved symbol","B3GALT1","beta-1,3-galactosyltransferase 1","HGNC:916","2q24.3"
"B3GALT4","Approved symbol","B3GALT4","beta-1,3-galactosyltransferase 4","HGNC:919","6p21.32"
"B3GALT5","Approved symbol","B3GALT5","beta-1,3-galactosyltransferase 5","HGNC:920","21q22.2"
"B3GALT6","Approved symbol","B3GALT6","beta-1,3-galactosyltransferase 6","HGNC:17978","1p36.33"
"B3GALTL","Previous symbol","B3GLCT","beta 3-glucosyltransferase","HGNC:20207","13q12.3"
"B3GAT3","Approved symbol","B3GAT3","beta-1,3-glucuronyltransferase 3","HGNC:923","11q12.3"
"B3GNT1","Previous symbol","B4GAT1","beta-1,4-glucuronyltransferase 1","HGNC:15685","11q13.2"
"B3GNT1","Previous symbol","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","HGNC:15629","2p15"
"B3GNT2","Approved symbol","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","HGNC:15629","2p15"
"B3GNT3","Approved symbol","B3GNT3","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3","HGNC:13528","19p13.11"
"B3GNT4","Approved symbol","B3GNT4","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4","HGNC:15683","12q24.31"
"B3GNT5","Approved symbol","B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5","HGNC:15684","3q27.1"
"B3GNT7","Approved symbol","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","HGNC:18811","2q37.1"
"B3GNT9","Approved symbol","B3GNT9","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9","HGNC:28714","16q22.1"
"B3GNTL1","Approved symbol","B3GNTL1","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1","HGNC:21727","17q25.3"
"B4GALNT1","Approved symbol","B4GALNT1","beta-1,4-N-acetyl-galactosaminyltransferase 1","HGNC:4117","12q13.3"
"B4GALNT3","Approved symbol","B4GALNT3","beta-1,4-N-acetyl-galactosaminyltransferase 3","HGNC:24137","12p13.33"
"B4GALNT4","Approved symbol","B4GALNT4","beta-1,4-N-acetyl-galactosaminyltransferase 4","HGNC:26315","11p15.5"
"B4GALT1","Approved symbol","B4GALT1","beta-1,4-galactosyltransferase 1","HGNC:924","9p21.1"
"B4GALT2","Approved symbol","B4GALT2","beta-1,4-galactosyltransferase 2","HGNC:925","1p34.1"
"B4GALT3","Approved symbol","B4GALT3","beta-1,4-galactosyltransferase 3","HGNC:926","1q23.3"
"B4GALT4","Approved symbol","B4GALT4","beta-1,4-galactosyltransferase 4","HGNC:927","3q13.32"
"B4GALT5","Approved symbol","B4GALT5","beta-1,4-galactosyltransferase 5","HGNC:928","20q13.13"
"B4GALT6","Approved symbol","B4GALT6","beta-1,4-galactosyltransferase 6","HGNC:929","18q12.1"
"B4GALT7","Approved symbol","B4GALT7","beta-1,4-galactosyltransferase 7","HGNC:930","5q35.3"
"B9D1","Approved symbol","B9D1","B9 domain containing 1","HGNC:24123","17p11.2"
"B9D2","Approved symbol","B9D2","B9 domain containing 2","HGNC:28636","19q13.2"
"BAAT","Approved symbol","BAAT","bile acid-CoA:amino acid N-acyltransferase","HGNC:932","9q31.1"
"BABAM1","Approved symbol","BABAM1","BRISC and BRCA1 A complex member 1","HGNC:25008","19p13.11"
"BACE1","Approved symbol","BACE1","beta-secretase 1","HGNC:933","11q23.3"
"BACE2","Approved symbol","BACE2","beta-secretase 2","HGNC:934","21q22.2-q22.3"
"BACH1","Approved symbol","BACH1","BTB domain and CNC homolog 1","HGNC:935","21q21.3"
"BACH1","Alias symbol","BRIP1","BRCA1 interacting protein C-terminal helicase 1","HGNC:20473","17q23.2"
"BACH2","Approved symbol","BACH2","BTB domain and CNC homolog 2","HGNC:14078","6q15"
"BAD","Approved symbol","BAD","BCL2 associated agonist of cell death","HGNC:936","11q13.1"
"BAG1","Approved symbol","BAG1","BAG cochaperone 1","HGNC:937","9p13.3"
"BAG2","Approved symbol","BAG2","BAG cochaperone 2","HGNC:938","6p12.1"
"BAG3","Approved symbol","BAG3","BAG cochaperone 3","HGNC:939","10q26.11"
"BAG4","Approved symbol","BAG4","BAG cochaperone 4","HGNC:940","8p11.23"
"BAG5","Approved symbol","BAG5","BAG cochaperone 5","HGNC:941","14q32.33"
"BAG6","Approved symbol","BAG6","BAG cochaperone 6","HGNC:13919","6p21.33"
"BAHD1","Approved symbol","BAHD1","bromo adjacent homology domain containing 1","HGNC:29153","15q15.1"
"BAI1","Previous symbol","ADGRB1","adhesion G protein-coupled receptor B1","HGNC:943","8q24.3"
"BAI2","Previous symbol","ADGRB2","adhesion G protein-coupled receptor B2","HGNC:944","1p35.2"
"BAI3","Previous symbol","ADGRB3","adhesion G protein-coupled receptor B3","HGNC:945","6q12-q13"
"BAIAP2","Approved symbol","BAIAP2","BAR/IMD domain containing adaptor protein 2","HGNC:947","17q25.3"
"BAIAP2L1","Approved symbol","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1","HGNC:21649","7q21.3-q22.1"
"BAIAP2L2","Approved symbol","BAIAP2L2","BAR/IMD domain containing adaptor protein 2 like 2","HGNC:26203","22q13.1"
"BAIAP3","Approved symbol","BAIAP3","BAI1 associated protein 3","HGNC:948","16p13.3"
"BAK1","Approved symbol","BAK1","BCL2 antagonist/killer 1","HGNC:949","6p21.31"
"BAMBI","Approved symbol","BAMBI","BMP and activin membrane bound inhibitor","HGNC:30251","10p12.1"
"BANF1","Approved symbol","BANF1","BAF nuclear assembly factor 1","HGNC:17397","11q13.1"
"BANK1","Approved symbol","BANK1","B cell scaffold protein with ankyrin repeats 1","HGNC:18233","4q24"
"BANP","Approved symbol","BANP","BTG3 associated nuclear protein","HGNC:13450","16q24.2"
"BAP1","Approved symbol","BAP1","BRCA1 associated protein 1","HGNC:950","3p21.1"
"BAP1","Alias symbol","RNF2","ring finger protein 2","HGNC:10061","1q25.3"
"BAP1","Alias symbol","MAGI1","membrane associated guanylate kinase, WW and PDZ domain containing 1","HGNC:946","3p14.1"
"BARD1","Approved symbol","BARD1","BRCA1 associated RING domain 1","HGNC:952","2q35"
"BARHL2","Approved symbol","BARHL2","BarH like homeobox 2","HGNC:954","1p22.2"
"BARX1","Approved symbol","BARX1","BARX homeobox 1","HGNC:955","9q22.32"
"BARX2","Approved symbol","BARX2","BARX homeobox 2","HGNC:956","11q24.3"
"BASP1","Approved symbol","BASP1","brain abundant membrane attached signal protein 1","HGNC:957","5p15.1"
"BATF2","Approved symbol","BATF2","basic leucine zipper ATF-like transcription factor 2","HGNC:25163","11q13.1"
"BATF3","Approved symbol","BATF3","basic leucine zipper ATF-like transcription factor 3","HGNC:28915","1q32.3"
"BAX","Approved symbol","BAX","BCL2 associated X, apoptosis regulator","HGNC:959","19q13.33"
"BAZ1A","Approved symbol","BAZ1A","bromodomain adjacent to zinc finger domain 1A","HGNC:960","14q13.1-q13.2"
"BAZ1B","Approved symbol","BAZ1B","bromodomain adjacent to zinc finger domain 1B","HGNC:961","7q11.23"
"BAZ2A","Approved symbol","BAZ2A","bromodomain adjacent to zinc finger domain 2A","HGNC:962","12q13.3"
"BAZ2B","Approved symbol","BAZ2B","bromodomain adjacent to zinc finger domain 2B","HGNC:963","2q24.2"
"BBC3","Approved symbol","BBC3","BCL2 binding component 3","HGNC:17868","19q13.32"
"BBIP1","Approved symbol","BBIP1","BBSome interacting protein 1","HGNC:28093","10q25.2"
"BBS10","Approved symbol","BBS10","Bardet-Biedl syndrome 10","HGNC:26291","12q21.2"
"BBS12","Approved symbol","BBS12","Bardet-Biedl syndrome 12","HGNC:26648","4q27"
"BBS2","Approved symbol","BBS2","Bardet-Biedl syndrome 2","HGNC:967","16q13"
"BBS4","Approved symbol","BBS4","Bardet-Biedl syndrome 4","HGNC:969","15q24.1"
"BBS5","Approved symbol","BBS5","Bardet-Biedl syndrome 5","HGNC:970","2q31.1"
"BBS7","Approved symbol","BBS7","Bardet-Biedl syndrome 7","HGNC:18758","4q27"
"BBS9","Approved symbol","BBS9","Bardet-Biedl syndrome 9","HGNC:30000","7p14.3"
"BBX","Approved symbol","BBX","BBX high mobility group box domain containing","HGNC:14422","3q13.12"
"BCAM","Approved symbol","BCAM","basal cell adhesion molecule (Lutheran blood group)","HGNC:6722","19q13.32"
"BCAM","Alias symbol","BCAT2","branched chain amino acid transaminase 2","HGNC:977","19q13.33"
"BCAP29","Approved symbol","BCAP29","B cell receptor associated protein 29","HGNC:24131","7q22.3"
"BCAP31","Approved symbol","BCAP31","B cell receptor associated protein 31","HGNC:16695","Xq28"
"BCAR1","Approved symbol","BCAR1","BCAR1 scaffold protein, Cas family member","HGNC:971","16q23.1"
"BCAR3","Approved symbol","BCAR3","BCAR3 adaptor protein, NSP family member","HGNC:973","1p22.1"
"BCAS2","Approved symbol","BCAS2","BCAS2 pre-mRNA processing factor","HGNC:975","1p13.2"
"BCAS3","Approved symbol","BCAS3","BCAS3 microtubule associated cell migration factor","HGNC:14347","17q23.2"
"BCAS4","Approved symbol","BCAS4","breast carcinoma amplified sequence 4","HGNC:14367","20q13.13"
"BCAT1","Approved symbol","BCAT1","branched chain amino acid transaminase 1","HGNC:976","12p12.1"
"BCAT2","Approved symbol","BCAT2","branched chain amino acid transaminase 2","HGNC:977","19q13.33"
"BCCIP","Approved symbol","BCCIP","BRCA2 and CDKN1A interacting protein","HGNC:978","10q26.2"
"BCDIN3D","Approved symbol","BCDIN3D","BCDIN3 domain containing RNA methyltransferase","HGNC:27050","12q13.12"
"BCHE","Approved symbol","BCHE","butyrylcholinesterase","HGNC:983","3q26.1"
"BCKDHB","Approved symbol","BCKDHB","branched chain keto acid dehydrogenase E1 subunit beta","HGNC:987","6q14.1"
"BCKDK","Approved symbol","BCKDK","branched chain keto acid dehydrogenase kinase","HGNC:16902","16p11.2"
"BCL10","Approved symbol","BCL10","BCL10 immune signaling adaptor","HGNC:989","1p22.3"
"BCL11B","Approved symbol","BCL11B","BAF chromatin remodeling complex subunit BCL11B","HGNC:13222","14q32.2"
"BCL2","Approved symbol","BCL2","BCL2 apoptosis regulator","HGNC:990","18q21.33"
"BCL2A1","Approved symbol","BCL2A1","BCL2 related protein A1","HGNC:991","15q25.1"
"BCL2L1","Approved symbol","BCL2L1","BCL2 like 1","HGNC:992","20q11.21"
"BCL2L11","Approved symbol","BCL2L11","BCL2 like 11","HGNC:994","2q13"
"BCL2L12","Approved symbol","BCL2L12","BCL2 like 12","HGNC:13787","19q13.33"
"BCL2L13","Approved symbol","BCL2L13","BCL2 like 13","HGNC:17164","22q11.21"
"BCL2L15","Approved symbol","BCL2L15","BCL2 like 15","HGNC:33624","1p13.2"
"BCL2L2","Approved symbol","BCL2L2","BCL2 like 2","HGNC:995","14q11.2"
"BCL3","Approved symbol","BCL3","BCL3 transcription coactivator","HGNC:998","19q13.32"
"BCL6","Approved symbol","BCL6","BCL6 transcription repressor","HGNC:1001","3q27.3"
"BCL7A","Approved symbol","BCL7A","BAF chromatin remodeling complex subunit BCL7A","HGNC:1004","12q24.31"
"BCL7B","Approved symbol","BCL7B","BAF chromatin remodeling complex subunit BCL7B","HGNC:1005","7q11.23"
"BCL7C","Approved symbol","BCL7C","BAF chromatin remodeling complex subunit BCL7C","HGNC:1006","16p11.2"
"BCL9","Approved symbol","BCL9","BCL9 transcription coactivator","HGNC:1008","1q21.2"
"BCL9L","Approved symbol","BCL9L","BCL9 like","HGNC:23688","11q23.3"
"BCLAF1","Approved symbol","BCLAF1","BCL2 associated transcription factor 1","HGNC:16863","6q23.3"
"BCMO1","Previous symbol","BCO1","beta-carotene oxygenase 1","HGNC:13815","16q23.2"
"BCO2","Approved symbol","BCO2","beta-carotene oxygenase 2","HGNC:18503","11q23.1"
"BCOR","Approved symbol","BCOR","BCL6 corepressor","HGNC:20893","Xp11.4"
"BCORL1","Approved symbol","BCORL1","BCL6 corepressor like 1","HGNC:25657","Xq26.1"
"BCR","Approved symbol","BCR","BCR activator of RhoGEF and GTPase","HGNC:1014","22q11.23"
"BCS1L","Approved symbol","BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone","HGNC:1020","2q35"
"BDH1","Approved symbol","BDH1","3-hydroxybutyrate dehydrogenase 1","HGNC:1027","3q29"
"BDH2","Approved symbol","BDH2","3-hydroxybutyrate dehydrogenase 2","HGNC:32389","4q24"
"BDKRB1","Approved symbol","BDKRB1","bradykinin receptor B1","HGNC:1029","14q32.2"
"BDKRB2","Approved symbol","BDKRB2","bradykinin receptor B2","HGNC:1030","14q32.2"
"BDNF","Approved symbol","BDNF","brain derived neurotrophic factor","HGNC:1033","11p14.1"
"BDP1","Approved symbol","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB","HGNC:13652","5q13.2"
"BDP1","Alias symbol","PTPN18","protein tyrosine phosphatase non-receptor type 18","HGNC:9649","2q21.1"
"BEAN1","Approved symbol","BEAN1","brain expressed associated with NEDD4 1","HGNC:24160","16q21"
"BECN1","Approved symbol","BECN1","beclin 1","HGNC:1034","17q21.31"
"BEGAIN","Approved symbol","BEGAIN","brain enriched guanylate kinase associated","HGNC:24163","14q32.2"
"BEND3","Approved symbol","BEND3","BEN domain containing 3","HGNC:23040","6q21"
"BEND4","Approved symbol","BEND4","BEN domain containing 4","HGNC:23815","4p13"
"BEND6","Approved symbol","BEND6","BEN domain containing 6","HGNC:20871","6p12.1"
"BEND7","Approved symbol","BEND7","BEN domain containing 7","HGNC:23514","10p13"
"BEST1","Approved symbol","BEST1","bestrophin 1","HGNC:12703","11q12.3"
"BEST3","Approved symbol","BEST3","bestrophin 3","HGNC:17105","12q15"
"BET1","Approved symbol","BET1","Bet1 golgi vesicular membrane trafficking protein","HGNC:14562","7q21.3"
"BET1L","Approved symbol","BET1L","Bet1 golgi vesicular membrane trafficking protein like","HGNC:19348","11p15.5"
"BEX1","Approved symbol","BEX1","brain expressed X-linked 1","HGNC:1036","Xq22.1"
"BEX2","Approved symbol","BEX2","brain expressed X-linked 2","HGNC:30933","Xq22.2"
"BEX4","Approved symbol","BEX4","brain expressed X-linked 4","HGNC:25475","Xq22.1"
"BFAR","Approved symbol","BFAR","bifunctional apoptosis regulator","HGNC:17613","16p13.12"
"BFSP1","Approved symbol","BFSP1","beaded filament structural protein 1","HGNC:1040","20p12.1"
"BHLHB9","Approved symbol","BHLHB9","basic helix-loop-helix family member b9","HGNC:29353","Xq22.1"
"BHLHE40","Approved symbol","BHLHE40","basic helix-loop-helix family member e40","HGNC:1046","3p26.1"
"BHLHE40","Alias symbol","BHLHE40","basic helix-loop-helix family member e40","HGNC:1046","3p26.1"
"BHLHE41","Approved symbol","BHLHE41","basic helix-loop-helix family member e41","HGNC:16617","12p12.1"
"BHLHE41","Alias symbol","BHLHE41","basic helix-loop-helix family member e41","HGNC:16617","12p12.1"
"BHMT2","Approved symbol","BHMT2","betaine--homocysteine S-methyltransferase 2","HGNC:1048","5q14.1"
"BICC1","Approved symbol","BICC1","BicC family RNA binding protein 1","HGNC:19351","10q21.1"
"BICD1","Approved symbol","BICD1","BICD cargo adaptor 1","HGNC:1049","12p11.21"
"BICD2","Approved symbol","BICD2","BICD cargo adaptor 2","HGNC:17208","9q22.31"
"BID","Approved symbol","BID","BH3 interacting domain death agonist","HGNC:1050","22q11.21"
"BIK","Approved symbol","BIK","BCL2 interacting killer","HGNC:1051","22q13.2"
"BIN1","Approved symbol","BIN1","bridging integrator 1","HGNC:1052","2q14.3"
"BIN3","Approved symbol","BIN3","bridging integrator 3","HGNC:1054","8p21.3"
"BIRC2","Approved symbol","BIRC2","baculoviral IAP repeat containing 2","HGNC:590","11q22.2"
"BIRC3","Approved symbol","BIRC3","baculoviral IAP repeat containing 3","HGNC:591","11q22.2"
"BIRC5","Approved symbol","BIRC5","baculoviral IAP repeat containing 5","HGNC:593","17q25.3"
"BIRC6","Approved symbol","BIRC6","baculoviral IAP repeat containing 6","HGNC:13516","2p22.3"
"BIRC7","Approved symbol","BIRC7","baculoviral IAP repeat containing 7","HGNC:13702","20q13.33"
"BIVM","Approved symbol","BIVM","basic, immunoglobulin-like variable motif containing","HGNC:16034","13q33.1"
"BLACE","Approved symbol","BLACE","B cell acute lymphoblastic leukemia expressed","HGNC:20484","7q36.3"
"BLCAP","Approved symbol","BLCAP","BLCAP apoptosis inducing factor","HGNC:1055","20q11.23"
"BLM","Approved symbol","BLM","BLM RecQ like helicase","HGNC:1058","15q26.1"
"BLMH","Approved symbol","BLMH","bleomycin hydrolase","HGNC:1059","17q11.2"
"BLOC1S1","Approved symbol","BLOC1S1","biogenesis of lysosomal organelles complex 1 subunit 1","HGNC:4200","12q13.2"
"BLOC1S2","Approved symbol","BLOC1S2","biogenesis of lysosomal organelles complex 1 subunit 2","HGNC:20984","10q24.31"
"BLOC1S3","Approved symbol","BLOC1S3","biogenesis of lysosomal organelles complex 1 subunit 3","HGNC:20914","19q13.32"
"BLOC1S4","Approved symbol","BLOC1S4","biogenesis of lysosomal organelles complex 1 subunit 4","HGNC:24206","4p16.1"
"BLOC1S5","Approved symbol","BLOC1S5","biogenesis of lysosomal organelles complex 1 subunit 5","HGNC:18561","6p24.3"
"BLOC1S6","Approved symbol","BLOC1S6","biogenesis of lysosomal organelles complex 1 subunit 6","HGNC:8549","15q21.1"
"BLVRA","Approved symbol","BLVRA","biliverdin reductase A","HGNC:1062","7p13"
"BLVRB","Approved symbol","BLVRB","biliverdin reductase B","HGNC:1063","19q13.2"
"BLZF1","Approved symbol","BLZF1","basic leucine zipper nuclear factor 1","HGNC:1065","1q24.2"
"BMF","Approved symbol","BMF","Bcl2 modifying factor","HGNC:24132","15q15.1"
"BMI1","Approved symbol","BMI1","BMI1 proto-oncogene, polycomb ring finger","HGNC:1066","10p12.2"
"BMP1","Approved symbol","BMP1","bone morphogenetic protein 1","HGNC:1067","8p21.3"
"BMP2","Approved symbol","BMP2","bone morphogenetic protein 2","HGNC:1069","20p12.3"
"BMP2K","Approved symbol","BMP2K","BMP2 inducible kinase","HGNC:18041","4q21.21"
"BMP4","Approved symbol","BMP4","bone morphogenetic protein 4","HGNC:1071","14q22.2"
"BMP6","Approved symbol","BMP6","bone morphogenetic protein 6","HGNC:1073","6p24.3"
"BMP8B","Approved symbol","BMP8B","bone morphogenetic protein 8b","HGNC:1075","1p34.2"
"BMPER","Approved symbol","BMPER","BMP binding endothelial regulator","HGNC:24154","7p14.3"
"BMPR1A","Approved symbol","BMPR1A","bone morphogenetic protein receptor type 1A","HGNC:1076","10q23.2"
"BMPR1B","Approved symbol","BMPR1B","bone morphogenetic protein receptor type 1B","HGNC:1077","4q22.3"
"BMPR2","Approved symbol","BMPR2","bone morphogenetic protein receptor type 2","HGNC:1078","2q33.1-q33.2"
"BMS1","Approved symbol","BMS1","BMS1 ribosome biogenesis factor","HGNC:23505","10q11.21"
"BNC1","Approved symbol","BNC1","basonuclin 1","HGNC:1081","15q25.2"
"BNC1","Alias symbol","ASIC2","acid sensing ion channel subunit 2","HGNC:99","17q11.2-q12"
"BNC2","Approved symbol","BNC2","basonuclin 2","HGNC:30988","9p22.3-p22.2"
"BNIP1","Approved symbol","BNIP1","BCL2 interacting protein 1","HGNC:1082","5q35.1"
"BNIP2","Approved symbol","BNIP2","BCL2 interacting protein 2","HGNC:1083","15q22.2"
"BNIP3","Approved symbol","BNIP3","BCL2 interacting protein 3","HGNC:1084","10q26.3"
"BNIP3L","Approved symbol","BNIP3L","BCL2 interacting protein 3 like","HGNC:1085","8p21.2"
"BOC","Approved symbol","BOC","BOC cell adhesion associated, oncogene regulated","HGNC:17173","3q13.2"
"BOD1","Approved symbol","BOD1","biorientation of chromosomes in cell division 1","HGNC:25114","5q35.2"
"BOD1L1","Approved symbol","BOD1L1","biorientation of chromosomes in cell division 1 like 1","HGNC:31792","4p15.33"
"BOK","Approved symbol","BOK","BCL2 family apoptosis regulator BOK","HGNC:1087","2q37.3"
"BOLA1","Approved symbol","BOLA1","bolA family member 1","HGNC:24263","1q21.2"
"BOLA3","Approved symbol","BOLA3","bolA family member 3","HGNC:24415","2p13.1"
"BOP1","Approved symbol","BOP1","BOP1 ribosomal biogenesis factor","HGNC:15519","8q24.3"
"BORA","Approved symbol","BORA","BORA aurora kinase A activator","HGNC:24724","13q21.33"
"BPGM","Approved symbol","BPGM","bisphosphoglycerate mutase","HGNC:1093","7q33"
"BPHL","Approved symbol","BPHL","biphenyl hydrolase like","HGNC:1094","6p25.2"
"BPNT1","Approved symbol","BPNT1","3'(2'), 5'-bisphosphate nucleotidase 1","HGNC:1096","1q41"
"BPTF","Approved symbol","BPTF","bromodomain PHD finger transcription factor","HGNC:3581","17q24.2"
"BRAF","Approved symbol","BRAF","B-Raf proto-oncogene, serine/threonine kinase","HGNC:1097","7q34"
"BRAP","Approved symbol","BRAP","BRCA1 associated protein","HGNC:1099","12q24.12"
"BRAP","Alias symbol","C6orf89","chromosome 6 open reading frame 89","HGNC:21114","6p21.2"
"BRAT1","Approved symbol","BRAT1","BRCA1 associated ATM activator 1","HGNC:21701","7p22.3"
"BRCA1","Approved symbol","BRCA1","BRCA1 DNA repair associated","HGNC:1100","17q21.31"
"BRCA2","Approved symbol","BRCA2","BRCA2 DNA repair associated","HGNC:1101","13q13.1"
"BRCC3","Approved symbol","BRCC3","BRCA1/BRCA2-containing complex subunit 3","HGNC:24185","Xq28"
"BRCC3","Alias symbol","DEPDC1B","DEP domain containing 1B","HGNC:24902","5q12.1"
"BRD1","Approved symbol","BRD1","bromodomain containing 1","HGNC:1102","22q13.33"
